full_date,year,month,quarter,warehouse_name,city,region,product_name,category,units_sold,revenue,co2_kg,energy_kwh,waste_kg
2025-10-01,2025,10,4,Atlanta South,Atlanta,South,Bamboo Cutting Board,Kitchen,107,2035.14,12.248,27.498,11.69
2025-10-01,2025,10,4,Atlanta South,Atlanta,South,Compostable Packaging,Packaging,21,2327.01,4.0518,27.498,5.68
2025-10-01,2025,10,4,Atlanta South,Atlanta,South,Organic Cotton T-Shirt,Apparel,65,9347.0,14.6335,27.498,6.1
2025-10-01,2025,10,4,Atlanta South,Atlanta,South,Recycled Plastic Bottle,Beverage,96,1902.72,2.9566,27.498,11.31
2025-10-01,2025,10,4,Atlanta South,Atlanta,South,Solar Phone Charger,Electronics,98,9068.92,39.179,27.498,4.21
2025-10-01,2025,10,4,Chicago Center,Chicago,Midwest,Bamboo Cutting Board,Kitchen,11,1265.33,10.7292,111.508,9.9
2025-10-01,2025,10,4,Chicago Center,Chicago,Midwest,Compostable Packaging,Packaging,97,4393.13,5.9963,111.508,7.39
2025-10-01,2025,10,4,Chicago Center,Chicago,Midwest,Organic Cotton T-Shirt,Apparel,117,4324.32,19.4965,111.508,7.85
2025-10-01,2025,10,4,Chicago Center,Chicago,Midwest,Recycled Plastic Bottle,Beverage,160,7254.4,5.0264,111.508,15.62
2025-10-01,2025,10,4,Chicago Center,Chicago,Midwest,Solar Phone Charger,Electronics,50,5311.5,44.0832,111.508,4.8
2025-10-01,2025,10,4,Portland DC,Portland,West,Bamboo Cutting Board,Kitchen,139,12828.31,4.7037,145.052,3.91
2025-10-01,2025,10,4,Portland DC,Portland,West,Compostable Packaging,Packaging,176,18777.44,9.8238,145.052,10.99
2025-10-01,2025,10,4,Portland DC,Portland,West,Organic Cotton T-Shirt,Apparel,118,1133.98,27.8645,145.052,11.87
2025-10-01,2025,10,4,Portland DC,Portland,West,Recycled Plastic Bottle,Beverage,33,1211.1,2.9676,145.052,19.28
2025-10-01,2025,10,4,Portland DC,Portland,West,Solar Phone Charger,Electronics,153,5175.99,51.3205,145.052,7.13
2025-10-01,2025,10,4,Seattle Hub,Seattle,West,Bamboo Cutting Board,Kitchen,67,1690.41,2.3925,156.926,2.19
2025-10-01,2025,10,4,Seattle Hub,Seattle,West,Compostable Packaging,Packaging,149,2623.89,15.0283,156.926,18.42
2025-10-01,2025,10,4,Seattle Hub,Seattle,West,Organic Cotton T-Shirt,Apparel,173,3657.22,39.6416,156.926,15.79
2025-10-01,2025,10,4,Seattle Hub,Seattle,West,Recycled Plastic Bottle,Beverage,199,8931.12,3.8624,156.926,13.64
2025-10-01,2025,10,4,Seattle Hub,Seattle,West,Solar Phone Charger,Electronics,36,3712.32,0.0,156.926,0.0
2025-10-02,2025,10,4,Atlanta South,Atlanta,South,Bamboo Cutting Board,Kitchen,128,7682.56,12.127,88.732,10.91
2025-10-02,2025,10,4,Atlanta South,Atlanta,South,Compostable Packaging,Packaging,66,6881.82,3.3905,88.732,4.7
2025-10-02,2025,10,4,Atlanta South,Atlanta,South,Organic Cotton T-Shirt,Apparel,172,5129.04,25.5753,88.732,16.1
2025-10-02,2025,10,4,Atlanta South,Atlanta,South,Recycled Plastic Bottle,Beverage,196,7938.0,2.2335,88.732,8.72
2025-10-02,2025,10,4,Atlanta South,Atlanta,South,Solar Phone Charger,Electronics,173,18126.94,120.0285,88.732,17.24
2025-10-02,2025,10,4,Chicago Center,Chicago,Midwest,Bamboo Cutting Board,Kitchen,63,6437.34,8.7804,33.428,7.62
2025-10-02,2025,10,4,Chicago Center,Chicago,Midwest,Compostable Packaging,Packaging,175,2686.25,13.2305,33.428,16.18
2025-10-02,2025,10,4,Chicago Center,Chicago,Midwest,Organic Cotton T-Shirt,Apparel,172,21663.4,12.7768,33.428,5.63
2025-10-02,2025,10,4,Chicago Center,Chicago,Midwest,Recycled Plastic Bottle,Beverage,51,2992.68,1.1897,33.428,4.09
2025-10-02,2025,10,4,Chicago Center,Chicago,Midwest,Solar Phone Charger,Electronics,189,26613.09,178.9958,33.428,19.6
2025-10-02,2025,10,4,Portland DC,Portland,West,Bamboo Cutting Board,Kitchen,84,12420.24,18.4349,95.618,15.63
2025-10-02,2025,10,4,Portland DC,Portland,West,Compostable Packaging,Packaging,107,4848.17,1.8591,95.618,2.46
2025-10-02,2025,10,4,Portland DC,Portland,West,Organic Cotton T-Shirt,Apparel,190,2867.1,32.2004,95.618,15.13
2025-10-02,2025,10,4,Portland DC,Portland,West,Recycled Plastic Bottle,Beverage,179,6810.95,4.5903,95.618,18.82
