date,warehouse_id,warehouse_name,product_id,product_name,units_sold,revenue
2025-10-01,1,Seattle Hub,1,Organic Cotton T-Shirt,173,3657.22
2025-10-01,1,Seattle Hub,2,Recycled Plastic Bottle,199,8931.12
2025-10-01,1,Seattle Hub,3,Bamboo Cutting Board,67,1690.41
2025-10-01,1,Seattle Hub,4,Solar Phone Charger,36,3712.32
2025-10-01,1,Seattle Hub,5,Compostable Packaging,149,2623.89
2025-10-01,2,Portland DC,1,Organic Cotton T-Shirt,118,1133.98
2025-10-01,2,Portland DC,2,Recycled Plastic Bottle,33,1211.1
2025-10-01,2,Portland DC,3,Bamboo Cutting Board,139,12828.31
2025-10-01,2,Portland DC,4,Solar Phone Charger,153,5175.99
2025-10-01,2,Portland DC,5,Compostable Packaging,176,18777.44
2025-10-01,3,Chicago Center,1,Organic Cotton T-Shirt,117,4324.32
2025-10-01,3,Chicago Center,2,Recycled Plastic Bottle,160,7254.4
2025-10-01,3,Chicago Center,3,Bamboo Cutting Board,11,1265.33
2025-10-01,3,Chicago Center,4,Solar Phone Charger,50,5311.5
2025-10-01,3,Chicago Center,5,Compostable Packaging,97,4393.13
2025-10-01,4,Atlanta South,1,Organic Cotton T-Shirt,65,9347.0
2025-10-01,4,Atlanta South,2,Recycled Plastic Bottle,96,1902.72
2025-10-01,4,Atlanta South,3,Bamboo Cutting Board,107,2035.14
2025-10-01,4,Atlanta South,4,Solar Phone Charger,98,9068.92
2025-10-01,4,Atlanta South,5,Compostable Packaging,21,2327.01
2025-10-02,1,Seattle Hub,1,Organic Cotton T-Shirt,147,3395.7
2025-10-02,1,Seattle Hub,2,Recycled Plastic Bottle,106,1741.58
2025-10-02,1,Seattle Hub,3,Bamboo Cutting Board,85,10647.1
2025-10-02,1,Seattle Hub,4,Solar Phone Charger,168,22409.52
2025-10-02,1,Seattle Hub,5,Compostable Packaging,102,9049.44
2025-10-02,2,Portland DC,1,Organic Cotton T-Shirt,190,2867.1
2025-10-02,2,Portland DC,2,Recycled Plastic Bottle,179,6810.95
2025-10-02,2,Portland DC,3,Bamboo Cutting Board,84,12420.24
2025-10-02,2,Portland DC,4,Solar Phone Charger,69,9014.16
2025-10-02,2,Portland DC,5,Compostable Packaging,107,4848.17
2025-10-02,3,Chicago Center,1,Organic Cotton T-Shirt,172,21663.4
2025-10-02,3,Chicago Center,2,Recycled Plastic Bottle,51,2992.68
2025-10-02,3,Chicago Center,3,Bamboo Cutting Board,63,6437.34
2025-10-02,3,Chicago Center,4,Solar Phone Charger,189,26613.09
2025-10-02,3,Chicago Center,5,Compostable Packaging,175,2686.25
2025-10-02,4,Atlanta South,1,Organic Cotton T-Shirt,172,5129.04
2025-10-02,4,Atlanta South,2,Recycled Plastic Bottle,196,7938.0
2025-10-02,4,Atlanta South,3,Bamboo Cutting Board,128,7682.56
2025-10-02,4,Atlanta South,4,Solar Phone Charger,173,18126.94
2025-10-02,4,Atlanta South,5,Compostable Packaging,66,6881.82
2025-10-03,1,Seattle Hub,1,Organic Cotton T-Shirt,24,917.04
2025-10-03,1,Seattle Hub,2,Recycled Plastic Bottle,18,2191.14
2025-10-03,1,Seattle Hub,3,Bamboo Cutting Board,112,4907.84
2025-10-03,1,Seattle Hub,4,Solar Phone Charger,64,8793.6
2025-10-03,1,Seattle Hub,5,Compostable Packaging,155,20470.85
2025-10-03,2,Portland DC,1,Organic Cotton T-Shirt,90,3224.7
2025-10-03,2,Portland DC,2,Recycled Plastic Bottle,137,8544.69
2025-10-03,2,Portland DC,3,Bamboo Cutting Board,174,12446.22
2025-10-03,2,Portland DC,4,Solar Phone Charger,77,1944.25
2025-10-03,2,Portland DC,5,Compostable Packaging,200,17280.0
2025-10-03,3,Chicago Center,1,Organic Cotton T-Shirt,77,8725.64
2025-10-03,3,Chicago Center,2,Recycled Plastic Bottle,119,16086.42
2025-10-03,3,Chicago Center,3,Bamboo Cutting Board,112,6438.88
2025-10-03,3,Chicago Center,4,Solar Phone Charger,45,3549.6
2025-10-03,3,Chicago Center,5,Compostable Packaging,33,3781.47
2025-10-03,4,Atlanta South,1,Organic Cotton T-Shirt,38,1032.08
2025-10-03,4,Atlanta South,2,Recycled Plastic Bottle,50,5992.5
2025-10-03,4,Atlanta South,3,Bamboo Cutting Board,118,10794.64
2025-10-03,4,Atlanta South,4,Solar Phone Charger,108,6515.64
2025-10-03,4,Atlanta South,5,Compostable Packaging,129,10541.88
2025-10-04,1,Seattle Hub,1,Organic Cotton T-Shirt,151,19601.31
2025-10-04,1,Seattle Hub,2,Recycled Plastic Bottle,12,1243.68
2025-10-04,1,Seattle Hub,3,Bamboo Cutting Board,39,4050.15
2025-10-04,1,Seattle Hub,4,Solar Phone Charger,147,16740.36
2025-10-04,1,Seattle Hub,5,Compostable Packaging,174,9453.42
2025-10-04,2,Portland DC,1,Organic Cotton T-Shirt,85,5783.4
2025-10-04,2,Portland DC,2,Recycled Plastic Bottle,126,689.22
2025-10-04,2,Portland DC,3,Bamboo Cutting Board,194,25608.0
2025-10-04,2,Portland DC,4,Solar Phone Charger,77,11235.84
2025-10-04,2,Portland DC,5,Compostable Packaging,55,4323.55
2025-10-04,3,Chicago Center,1,Organic Cotton T-Shirt,37,4855.51
2025-10-04,3,Chicago Center,2,Recycled Plastic Bottle,86,10925.44
2025-10-04,3,Chicago Center,3,Bamboo Cutting Board,139,12968.7
2025-10-04,3,Chicago Center,4,Solar Phone Charger,49,2901.78
2025-10-04,3,Chicago Center,5,Compostable Packaging,51,4243.71
2025-10-04,4,Atlanta South,1,Organic Cotton T-Shirt,145,20036.1
2025-10-04,4,Atlanta South,2,Recycled Plastic Bottle,163,8476.0
2025-10-04,4,Atlanta South,3,Bamboo Cutting Board,14,297.08
2025-10-04,4,Atlanta South,4,Solar Phone Charger,102,13505.82
2025-10-04,4,Atlanta South,5,Compostable Packaging,88,3495.36
2025-10-05,1,Seattle Hub,1,Organic Cotton T-Shirt,71,9394.01
2025-10-05,1,Seattle Hub,2,Recycled Plastic Bottle,30,522.6
2025-10-05,1,Seattle Hub,3,Bamboo Cutting Board,134,16524.88
2025-10-05,1,Seattle Hub,4,Solar Phone Charger,146,16943.3
2025-10-05,1,Seattle Hub,5,Compostable Packaging,42,4227.72
2025-10-05,2,Portland DC,1,Organic Cotton T-Shirt,150,4341.0
2025-10-05,2,Portland DC,2,Recycled Plastic Bottle,145,19067.5
2025-10-05,2,Portland DC,3,Bamboo Cutting Board,118,17089.94
2025-10-05,2,Portland DC,4,Solar Phone Charger,148,16947.48
2025-10-05,2,Portland DC,5,Compostable Packaging,186,6355.62
2025-10-05,3,Chicago Center,1,Organic Cotton T-Shirt,89,5593.65
2025-10-05,3,Chicago Center,2,Recycled Plastic Bottle,181,17960.63
2025-10-05,3,Chicago Center,3,Bamboo Cutting Board,122,16523.68
2025-10-05,3,Chicago Center,4,Solar Phone Charger,125,2818.75
2025-10-05,3,Chicago Center,5,Compostable Packaging,67,956.76
2025-10-05,4,Atlanta South,1,Organic Cotton T-Shirt,15,1354.5
2025-10-05,4,Atlanta South,2,Recycled Plastic Bottle,68,6141.76
2025-10-05,4,Atlanta South,3,Bamboo Cutting Board,11,168.19
2025-10-05,4,Atlanta South,4,Solar Phone Charger,171,2315.34
2025-10-05,4,Atlanta South,5,Compostable Packaging,27,3679.83
2025-10-06,1,Seattle Hub,1,Organic Cotton T-Shirt,94,1435.38
2025-10-06,1,Seattle Hub,2,Recycled Plastic Bottle,70,3176.6
2025-10-06,1,Seattle Hub,3,Bamboo Cutting Board,134,4832.04
2025-10-06,1,Seattle Hub,4,Solar Phone Charger,43,4725.27
2025-10-06,1,Seattle Hub,5,Compostable Packaging,156,13813.8
2025-10-06,2,Portland DC,1,Organic Cotton T-Shirt,72,8551.44
2025-10-06,2,Portland DC,2,Recycled Plastic Bottle,114,3717.54
2025-10-06,2,Portland DC,3,Bamboo Cutting Board,34,3418.7
2025-10-06,2,Portland DC,4,Solar Phone Charger,100,6642.0
2025-10-06,2,Portland DC,5,Compostable Packaging,129,16803.54
2025-10-06,3,Chicago Center,1,Organic Cotton T-Shirt,23,2360.72
2025-10-06,3,Chicago Center,2,Recycled Plastic Bottle,175,3372.25
2025-10-06,3,Chicago Center,3,Bamboo Cutting Board,113,12496.67
2025-10-06,3,Chicago Center,4,Solar Phone Charger,37,1519.22
2025-10-06,3,Chicago Center,5,Compostable Packaging,58,4800.08
2025-10-06,4,Atlanta South,1,Organic Cotton T-Shirt,45,2977.65
2025-10-06,4,Atlanta South,2,Recycled Plastic Bottle,81,5838.48
2025-10-06,4,Atlanta South,3,Bamboo Cutting Board,29,2008.25
2025-10-06,4,Atlanta South,4,Solar Phone Charger,150,2880.0
2025-10-06,4,Atlanta South,5,Compostable Packaging,176,26382.4
2025-10-07,1,Seattle Hub,1,Organic Cotton T-Shirt,13,1891.5
2025-10-07,1,Seattle Hub,2,Recycled Plastic Bottle,70,2038.4
2025-10-07,1,Seattle Hub,3,Bamboo Cutting Board,134,10023.2
2025-10-07,1,Seattle Hub,4,Solar Phone Charger,112,15215.2
2025-10-07,1,Seattle Hub,5,Compostable Packaging,52,3117.4
2025-10-07,2,Portland DC,1,Organic Cotton T-Shirt,109,4736.05
2025-10-07,2,Portland DC,2,Recycled Plastic Bottle,126,5841.36
2025-10-07,2,Portland DC,3,Bamboo Cutting Board,188,27036.28
2025-10-07,2,Portland DC,4,Solar Phone Charger,152,15347.44
2025-10-07,2,Portland DC,5,Compostable Packaging,134,3678.3
2025-10-07,3,Chicago Center,1,Organic Cotton T-Shirt,85,3108.45
2025-10-07,3,Chicago Center,2,Recycled Plastic Bottle,24,2135.52
