trans_date,wh_name,prod_name,category,waste_kg,co2_kg
20251001,Seattle Hub,Organic Cotton T-Shirt,Apparel,15.79,39.6416
20251001,Seattle Hub,Recycled Plastic Bottle,Beverage,13.64,3.8624
20251001,Seattle Hub,Bamboo Cutting Board,Kitchen,2.19,2.3925
20251001,Seattle Hub,Solar Phone Charger,Electronics,-8.41,62.9157
20251001,Seattle Hub,Compostable Packaging,Packaging,18.42,15.0283
20251001,Portland DC,Organic Cotton T-Shirt,Apparel,11.87,27.8645
20251001,Portland DC,Recycled Plastic Bottle,Beverage,19.28,
20251001,Portland DC,Bamboo Cutting Board,Kitchen,3.91,4.7037
20251001,Portland DC,Solar Phone Charger,Electronics,7.13,51.3205
20251001,Portland DC,Compostable Packaging,Packaging,10.99,9.8238
20251001,Chicago Center,Organic Cotton T-Shirt,Apparel,7.85,19.4965
20251001,Chicago Center,Recycled Plastic Bottle,Beverage,15.62,5.0264
20251001,Chicago Center,Bamboo Cutting Board,Kitchen,9.9,10.7292
20251001,Chicago Center,Solar Phone Charger,Electronics,4.8,44.0832
20251001,Chicago Center,Compostable Packaging,Packaging,7.39,5.9963
20251001,Atlanta South,Organic Cotton T-Shirt,Apparel,6.1,14.6335
20251001,Atlanta South,Recycled Plastic Bottle,Beverage,11.31,2.9566
20251001,Atlanta South,Bamboo Cutting Board,Kitchen,11.69,12.248
20251001,Atlanta South,Solar Phone Charger,Electronics,4.21,39.179
20251001,Atlanta South,Compostable Packaging,Packaging,5.68,4.0518
20251002,Seattle Hub,Organic Cotton T-Shirt,Apparel,7.44,20.6753
20251002,Seattle Hub,Recycled Plastic Bottle,Beverage,-19.14,5.7252
20251002,Seattle Hub,Bamboo Cutting Board,Kitchen,19.18,26.2199
20251002,Seattle Hub,Solar Phone Charger,Electronics,18.01,176.4144
20251002,Seattle Hub,Compostable Packaging,Packaging,4.07,3.6002
20251002,Portland DC,Organic Cotton T-Shirt,Apparel,15.13,32.2004
20251002,Portland DC,Recycled Plastic Bottle,Beverage,18.82,4.5903
20251002,Portland DC,Bamboo Cutting Board,Kitchen,15.63,18.4349
20251002,Portland DC,Solar Phone Charger,Electronics,6.66,45.4786
20251002,Portland DC,Compostable Packaging,Packaging,2.46,1.8591
20251002,Chicago Center,Organic Cotton T-Shirt,Apparel,5.63,12.7768
20251002,Chicago Center,Recycled Plastic Bottle,Beverage,4.09,1.1897
20251002,Chicago Center,Bamboo Cutting Board,Kitchen,7.62,8.7804
20251002,Chicago Center,Solar Phone Charger,Electronics,19.6,178.9958
20251002,Chicago Center,Compostable Packaging,Packaging,16.18,13.2305
20251002,Atlanta South,Organic Cotton T-Shirt,Apparel,16.1,
20251002,Atlanta South,Recycled Plastic Bottle,Beverage,8.72,2.2335
20251002,Atlanta South,Bamboo Cutting Board,Kitchen,10.91,12.127
20251002,Atlanta South,Solar Phone Charger,Electronics,17.24,120.0285
20251002,Atlanta South,Compostable Packaging,Packaging,4.7,3.3905
20251003,Seattle Hub,Organic Cotton T-Shirt,Apparel,15.02,33.9417
20251003,Seattle Hub,Recycled Plastic Bottle,Beverage,16.3,4.5851
20251003,Seattle Hub,Bamboo Cutting Board,Kitchen,13.75,17.1968
20251003,Seattle Hub,Solar Phone Charger,Electronics,11.0,111.4286
20251003,Seattle Hub,Compostable Packaging,Packaging,10.45,9.2787
20251003,Portland DC,Organic Cotton T-Shirt,Apparel,12.47,30.723
20251003,Portland DC,Recycled Plastic Bottle,Beverage,12.99,4.565
20251003,Portland DC,Bamboo Cutting Board,Kitchen,8.39,11.7074
20251003,Portland DC,Solar Phone Charger,Electronics,6.61,59.6238
20251003,Portland DC,Compostable Packaging,Packaging,8.21,7.5865
20251003,Chicago Center,Organic Cotton T-Shirt,Apparel,15.08,38.0157
20251003,Chicago Center,Recycled Plastic Bottle,Beverage,17.16,4.3759
20251003,Chicago Center,Bamboo Cutting Board,Kitchen,15.01,19.8113
20251003,Chicago Center,Solar Phone Charger,Electronics,2.36,23.5648
20251003,Chicago Center,Compostable Packaging,Packaging,15.53,12.5432
20251003,Atlanta South,Organic Cotton T-Shirt,Apparel,12.55,26.1581
20251003,Atlanta South,Recycled Plastic Bottle,Beverage,4.97,1.6327
20251003,Atlanta South,Bamboo Cutting Board,Kitchen,10.77,11.2212
20251003,Atlanta South,Solar Phone Charger,Electronics,18.35,178.7
20251003,Atlanta South,Compostable Packaging,Packaging,18.73,15.275
20251004,Seattle Hub,Organic Cotton T-Shirt,Apparel,11.02,28.551
20251004,Seattle Hub,Recycled Plastic Bottle,Beverage,17.61,5.1456
20251004,Seattle Hub,Bamboo Cutting Board,Kitchen,18.22,21.7035
20251004,Seattle Hub,Solar Phone Charger,Electronics,6.5,53.3097
20251004,Seattle Hub,Compostable Packaging,Packaging,10.7,9.4444
20251004,Portland DC,Organic Cotton T-Shirt,Apparel,10.93,29.3773
20251004,Portland DC,Recycled Plastic Bottle,Beverage,6.34,2.1043
20251004,Portland DC,Bamboo Cutting Board,Kitchen,16.04,19.6192
20251004,Portland DC,Solar Phone Charger,Electronics,9.02,68.9998
20251004,Portland DC,Compostable Packaging,Packaging,16.65,11.8313
20251004,Chicago Center,Organic Cotton T-Shirt,Apparel,10.57,29.5956
20251004,Chicago Center,Recycled Plastic Bottle,Beverage,5.8,1.8433
20251004,Chicago Center,Bamboo Cutting Board,Kitchen,4.17,4.1402
20251004,Chicago Center,Solar Phone Charger,Electronics,9.38,78.2237
20251004,Chicago Center,Compostable Packaging,Packaging,6.75,4.6486
20251004,Atlanta South,Organic Cotton T-Shirt,Apparel,19.46,44.4099
20251004,Atlanta South,Recycled Plastic Bottle,Beverage,-0.66,0.1655
20251004,Atlanta South,Bamboo Cutting Board,Kitchen,8.69,11.6198
20251004,Atlanta South,Solar Phone Charger,Electronics,14.09,97.3324
20251004,Atlanta South,Compostable Packaging,Packaging,3.35,2.4297
20251005,Seattle Hub,Organic Cotton T-Shirt,Apparel,4.04,11.6986
